ep,tr_loss,val_loss
00,4.977979253333334,3.9972166899999997
01,9.059692141111112,3.4659588749999997
02,4595872.537347886,3.192824005
03,3.2786827833333327,3.045643265
04,3.13484716,2.9694420750000003
05,3.066093951111111,3.01252481
06,2.9346247588888894,2.8612005599999994
07,2.877229336666667,2.817247245
08,2.838425093333333,2.802388595
09,2.810980971111111,2.7605037949999995
10,2.7817978388888887,2.784703615
11,2.7234714933333333,2.72389735
12,2.6973859377777774,2.6915805699999997
13,2.675786401111111,2.6974841200000004
14,2.6504349499999997,2.66587627
15,2.633162477777778,2.6688200550000003
16,2.625111245555556,2.65859506
17,2.61635619,2.6539277500000003
18,2.6041957499999997,2.6499606249999994
19,2.59902882,2.63873119
20,2.5912156333333334,2.6492410499999997
21,2.578683891111111,2.63397541
22,2.572850401111111,2.62748109
23,3.073552162222222,4.0184634500000005
