ep,tr_loss,val_loss
00,4.7359615222222216,4.02999056
01,3.923513322222222,3.4442845950000005
02,12.658034522222222,3.214483915
03,3.3450230100000007,3.11471858
04,3.2012566277777776,3.063670905
05,3.1380777055555553,3.0387464349999993
06,3.0882469722222217,2.9910053499999996
07,3.0535003466666657,2.93594608
08,3.016255382222222,2.9380348750000005
09,2.90930122,2.8351606999999994
10,3.6747274322222223,3.3625932649999997
11,3.4625208266666667,3.2551218
12,3.3809163688888884,3.1772202000000003
13,3.314833015555555,3.1358411649999995
14,3.2591035177777776,3.075439645
15,3.212016467777778,3.05110547
