ep,tr_loss,val_loss
00,0.11790817211111108,0.1040158309
01,0.10299338765555555,0.0927546742
02,0.09448068433333334,0.4882543467999999
03,0.3487275282888889,0.27281248719999995
04,0.6203304620111112,0.5860266532
05,0.6315156804666665,0.40292820254999995
06,0.7081301214777778,0.30921982655
07,0.3225946871222222,0.41695767385
08,0.2338728324888889,0.08179821494999999
09,0.0843624059111111,0.08222877914999999
10,0.0843242436888889,0.08201282075
11,0.08426980776666666,0.08194269820000001
12,0.0843196863,0.08193281090000001
13,0.08424864667777777,0.0818600126
14,0.08430502000000001,0.08199056804999999
15,0.08433320283333333,0.08201179095
16,0.08429783366666667,0.08200778709999999
17,0.08433562791111113,0.08201594835
18,0.08429702273333332,0.08210788529999999
19,0.08424661147777777,0.08200870804999999
20,0.08430075751111112,0.08218460640000001
21,0.08435016761111111,0.0820450964
