ep,tr_loss,val_loss
00,4.832867927777778,3.954853885000001
01,3.9089099288888893,3.3924657750000002
02,3.5353164922222224,3.107760495
03,3.181214474444445,3.06933986
04,3.0105367577777775,3.04131312
05,2.93427205,3.02794787
06,2.8787940733333333,2.9982801849999996
07,2.8337023133333332,2.88846992
08,2.7934474299999996,2.8473309550000003
09,2.7639661811111114,2.83669275
10,2.7420820800000003,2.84478978
11,2.619498148888889,2.7807957249999995
12,2.5552232299999997,2.7195120400000006
13,2.530947147777778,2.688920865
14,2.506894857777778,2.7176527100000003
15,2.4429381111111113,2.6632801949999996
16,2.4198978011111114,2.652563875
17,2.389081571111111,2.6116184250000005
18,2.37179835,2.62300109
19,2.3541647866666664,2.59317846
20,2.3485295855555552,2.59065976
