ep,tr_loss,val_loss
00,0.10896044498,0.09125272329999999
01,1.77802361648,0.25169032275000003
02,1.02581732754,0.0753607386
03,0.07434155748,0.0741711715
04,0.07234825082,0.0728189086
05,0.07146853872,0.07144258474999998
06,0.07128424714,0.07165607160000001
07,0.07122143942,0.07155796845
08,0.07105949746000001,0.07191676290000001
09,0.07117548878,0.07178965940000001
10,0.07108403258,0.07169041
11,0.07111883626,0.071709359
12,0.07102698688,0.0716885892
13,0.07099729734,0.07212229405
14,0.07101278062,0.07167843539999999
15,0.07099323654,0.07173981995
16,0.07113804994,0.0716538376
17,0.07101513996,0.0718411458
