ep,tr_loss,val_loss
00,0.44765532206666664,0.5989960255
01,0.4800880974444445,0.289671798
02,0.4936232311666667,0.2697882045
03,0.2230406147111111,0.08508985345
04,0.08610529861111112,0.08413260525
05,0.08530235021111111,0.08344824975000001
06,0.08498529566666667,0.0832982994
07,0.08475259896666666,0.08341987075
08,0.08454695732222221,0.08336172435000001
09,0.08460255595555556,0.08313636574999998
10,0.0845106401,0.08341916055000001
11,0.08452003517777777,0.083499876
12,0.08452166386666668,0.0832885514
13,0.08454072514444445,0.08324189979999999
14,0.08453220463333333,0.08335674075
15,0.08453702269999998,0.08339928695000001
16,0.08446887227777779,0.08338153760000001
17,0.0844667562111111,0.08310465435
18,0.08448276092222222,0.0831710357
19,0.08449350726666666,0.0832910141
20,0.08448287775555555,0.08315836475
21,0.3782646860777778,0.63444450025
22,0.8034067106888888,0.5977247175000001
23,0.8442626872333333,0.6547303418499999
