leaves,gauss,per
2000,10000,36.50
2000,15000,35.55
2000,20000,35.02
2500,10000,36.42
2500,15000,35.24
2500,20000,34.66
3000,10000,36.29
3000,15000,35.19
3000,20000,34.52
