leaves,gauss,per
2000,10000,30.45
2000,15000,29.55
2000,20000,28.94
2500,10000,30.09
2500,15000,29.14
2500,20000,28.50
3000,10000,30.03
3000,15000,28.97
3000,20000,28.36
